Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1579388400.0 108.0 52 74 221 NA 112 122 300 NA 2432 393 1620 NA 2629 598 1946 NA
1579388400.0 11634.7 NA 172 305 NA NA 285 391 NA NA 1706 1713 NA NA 2160 2190 NA
1579388400.0 117.0 50 74 218 NA 110 121 299 NA 2268 390 1593 NA 2453 630 1989 NA
1579388400.0 121.0 52 72 221 NA 111 122 301 NA 2548 399 1623 NA 2757 595 1941 NA
1579388400.0 1325.6 NA 130 NA NA NA 258 NA NA NA 3241 NA NA NA 3979 NA NA
1579388400.0 144.6 NA 223 NA NA NA 331 NA NA NA 2407 NA NA NA 3049 NA NA
1579388400.0 20634.21 NA 363 325 143 NA 471 406 210 NA 12729 21579 2123 NA 14595 23482 2611
1579388400.0 250199.0 148 NA NA NA 236 NA NA NA 2621 NA NA NA 3161 NA NA NA
1579388400.0 250199.17 152 NA NA NA 241 NA NA NA 2753 NA NA NA 3181 NA NA NA
1579388400.0 250199.18 180 NA NA NA 273 NA NA NA 4073 NA NA NA 4591 NA NA NA
1579388400.0 250200.1 51 145 185 NA 108 231 270 NA 1453 1425 1800 NA 1726 1688 2101 NA
1579388400.0 250200.117 52 200 200 NA 101 287 283 NA 1686 2006 1844 NA 1949 2325 2152 NA
1579388400.0 4.28 NA 57 233 0 NA 132 310 0 NA 242 2509 2013 NA 545 3017 2122
1579388400.0 4002.0 NA 95 223 NA NA 179 311 NA NA 1835 2509 NA NA 2093 2899 NA
1579388400.0 4003.0 NA 97 223 NA NA 181 313 NA NA 1842 2717 NA NA 2079 3146 NA
