Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1579388400.0 10225.0 NA 124 196 0 NA NA 194 274 0 NA NA 1936 1576 194 NA NA 3145 2441 231 NA
1579388400.0 109.0 55 89 190 NA NA 99 148 253 NA NA 3811 284 432 NA NA 3864 318 487 NA NA
1579388400.0 117.0 54 77 188 NA NA 99 148 253 NA NA 3788 286 417 NA NA 3841 321 486 NA NA
1579388400.0 121.0 55 82 188 NA NA 99 148 253 NA NA 3793 286 415 NA NA 3844 319 468 NA NA
1579388400.0 1303.0 65 144 181 NA NA 109 198 239 NA NA 5738 607 1237 NA NA 5855 666 1307 NA NA
1579388400.0 1325.0 NA 160 252 0 67 NA 224 315 0 108 NA 466 975 1130 99 NA 563 1041 1148 163
1579388400.0 133.0 55 86 191 NA NA 100 148 254 NA NA 4145 286 444 NA NA 4213 319 506 NA NA
1579388400.0 134.701 NA 34 234 0 NA NA 80 306 0 NA NA 118 3089 348 NA NA 137 3232 365 NA
1579388400.0 134.702 NA 41 228 0 NA NA 77 302 0 NA NA 128 4099 364 NA NA 175 4408 395 NA
1579388400.0 134.703 NA 41 234 0 NA NA 82 312 0 NA NA 127 4098 372 NA NA 157 4404 405 NA
1579388400.0 134.704 NA 35 227 0 NA NA 77 302 0 NA NA 128 3930 339 NA NA 139 4038 359 NA
1579388400.0 134.705 NA 43 235 0 NA NA 82 310 0 NA NA 130 4313 364 NA NA 176 4622 392 NA
1579388400.0 134.707 NA 43 227 0 NA NA 80 303 0 NA NA 127 3885 355 NA NA 176 4194 378 NA
1579388400.0 134.708 NA 38 226 0 NA NA 79 298 0 NA NA 125 3768 352 NA NA 151 3879 378 NA
1579388400.0 134.709 NA 42 236 0 NA NA 81 308 0 NA NA 128 3956 368 NA NA 176 4264 398 NA
1579388400.0 134.901 NA 33 225 0 NA NA 79 298 0 NA NA 123 2903 342 NA NA 144 3043 372 NA
1579388400.0 134.902 NA 34 225 0 NA NA 83 300 0 NA NA 144 3800 350 NA NA 175 3923 371 NA
1579388400.0 134.903 NA 41 224 0 NA NA 83 297 0 NA NA 137 3460 348 NA NA 153 3570 376 NA
1579388400.0 134.904 NA 41 228 0 NA NA 81 304 0 NA NA 145 4162 356 NA NA 187 4469 392 NA
1579388400.0 134.905 NA 37 226 0 NA NA 81 297 0 NA NA 139 3434 350 NA NA 155 3539 382 NA
1579388400.0 134.909 NA 34 224 0 NA NA 81 293 0 NA NA 141 3627 350 NA NA 161 3757 381 NA
1579388400.0 134.91 NA 33 224 0 NA NA 81 294 0 NA NA 138 3298 340 NA NA 152 3451 360 NA
1579388400.0 134.911 NA 34 226 0 NA NA 80 303 0 NA NA 141 3459 359 NA NA 161 3579 387 NA
1579388400.0 134.99602 NA 33 225 0 NA NA 81 301 0 NA NA 144 3272 349 NA NA 163 3396 365 NA
1579388400.0 134.99901 NA 39 225 0 NA NA 81 300 0 NA NA 139 3356 346 NA NA 150 3468 374 NA
1579388400.0 135.1 226 0 107 NA NA 301 0 157 NA NA 621 222 312 NA NA 714 236 407 NA NA
1579388400.0 135.11 227 0 106 NA NA 306 0 159 NA NA 777 242 363 NA NA 862 263 438 NA NA
1579388400.0 135.12 219 0 107 NA NA 297 0 153 NA NA 537 217 271 NA NA 643 258 334 NA NA
1579388400.0 135.2 209 0 106 NA NA 278 0 148 NA NA 381 196 258 NA NA 478 211 313 NA NA
1579388400.0 135.3 208 0 106 NA NA 278 0 152 NA NA 390 199 269 NA NA 486 222 333 NA NA
1579388400.0 135.4 218 0 107 NA NA 298 0 156 NA NA 538 216 261 NA NA 623 251 323 NA NA
1579388400.0 135.5 216 0 106 NA NA 295 0 153 NA NA 492 211 271 NA NA 563 224 350 NA NA
1579388400.0 135.6 219 0 106 NA NA 298 0 156 NA NA 557 216 293 NA NA 660 237 369 NA NA
1579388400.0 135.7 217 0 106 NA NA 297 0 152 NA NA 478 209 281 NA NA 581 229 357 NA NA
1579388400.0 135.9 223 0 106 NA NA 298 0 156 NA NA 479 212 281 NA NA 582 232 342 NA NA
1579388400.0 1356.0 62 158 257 0 111 107 218 327 0 161 3425 427 1251 1224 311 3566 501 1330 1240 363
1579388400.0 136.721 NA 155 245 0 NA NA 226 322 0 NA NA 2340 5395 729 NA NA 2472 5561 759 NA
1579388400.0 136.722 NA 157 265 0 NA NA 232 346 0 NA NA 2815 6303 722 NA NA 3286 6425 747 NA
1579388400.0 136.723 NA 157 247 0 NA NA 229 323 0 NA NA 2381 5725 781 NA NA 2860 5857 815 NA
1579388400.0 136.724 NA 159 265 0 NA NA 234 346 0 NA NA 3636 6993 674 NA NA 4114 7120 695 NA
1579388400.0 136.725 NA 171 276 0 NA NA 229 357 0 NA NA 2655 6241 730 NA NA 2760 6357 755 NA
1579388400.0 136.726 NA 162 251 0 NA NA 230 331 0 NA NA 2936 6448 728 NA NA 3413 6557 750 NA
1579388400.0 136.727 NA 186 265 0 NA NA 284 341 0 NA NA 2837 6013 732 NA NA 3302 6112 749 NA
1579388400.0 136.728 NA 186 261 0 NA NA 281 339 0 NA NA 3063 6502 712 NA NA 3541 6634 737 NA
1579388400.0 136.729 NA 159 252 0 NA NA 227 329 0 NA NA 2533 6182 722 NA NA 3002 6311 752 NA
1579388400.0 136.73 NA 164 271 0 NA NA 224 355 0 NA NA 2751 6305 726 NA NA 3234 6428 745 NA
1579388400.0 136.731 NA 164 279 0 NA NA 233 362 0 NA NA 2811 6440 728 NA NA 3296 6560 751 NA
1579388400.0 136.732 NA 155 245 0 NA NA 226 325 0 NA NA 1770 4865 755 NA NA 1885 5008 777 NA
1579388400.0 136.7321 NA 154 265 0 NA NA 226 346 0 NA NA 1796 4998 744 NA NA 1938 5128 770 NA
1579388400.0 136.734 NA 169 250 0 NA NA 230 330 0 NA NA 2766 6240 723 NA NA 2875 6358 746 NA
1579388400.0 1360.0 64 162 249 0 NA 156 221 316 0 NA 2843 399 962 1257 NA 4422 466 1039 1286 NA
1579388400.0 1361.0 62 156 246 0 NA 156 217 314 0 NA 2808 438 1009 1175 NA 4104 498 1103 1207 NA
1579388400.0 1362.0 60 155 245 0 NA 156 213 310 0 NA 2531 399 899 1244 NA 4331 479 970 1282 NA
1579388400.0 1363.0 62 167 248 0 NA 156 217 310 0 NA 3595 441 910 1104 NA 5446 512 1029 1139 NA
1579388400.0 139901.0 NA 154 246 0 NA NA 219 312 0 NA NA 425 911 1207 NA NA 527 984 1260 NA
1579388400.0 139902.0 NA 168 249 0 NA NA 224 314 0 NA NA 480 1001 1199 NA NA 556 1133 1246 NA
1579388400.0 13992501.0 NA 196 321 0 NA NA 276 405 0 NA NA 2286 3173 1212 NA NA 3127 3773 1231 NA
1579388400.0 13992502.0 NA 202 324 0 NA NA 273 409 0 NA NA 2269 3005 1291 NA NA 3206 3629 1331 NA
1579388400.0 145.0 NA 228 281 0 NA NA 303 357 0 NA NA 2220 2009 164 NA NA 2331 2160 182 NA
1579388400.0 2.0 54 75 130 NA NA 99 146 186 NA NA 3825 266 577 NA NA 3865 327 630 NA NA
1579388400.0 204.0 53 88 207 0 NA 97 151 273 0 NA 2479 512 823 362 NA 2506 628 1002 384 NA
1579388400.0 24.0 NA 78 205 0 NA NA 146 257 0 NA NA 1535 1643 415 NA NA 1572 1710 460 NA
1579388400.0 25.0 NA 79 211 0 83 NA 146 274 0 124 NA 1626 1924 409 87 NA 1672 1979 429 111
1579388400.0 250400.0 230 0 109 NA NA 311 0 153 NA NA 859 208 370 NA NA 982 221 424 NA NA
1579388400.0 250402.0 231 0 110 NA NA 312 0 157 NA NA 968 218 417 NA NA 1091 238 489 NA NA
1579388400.0 250405.0 228 0 108 NA NA 310 0 155 NA NA 756 204 348 NA NA 875 220 418 NA NA
1579388400.0 250406.0 228 0 107 NA NA 312 0 154 NA NA 646 214 300 NA NA 767 238 354 NA NA
1579388400.0 250407.0 222 0 110 NA NA 293 0 156 NA NA 607 183 340 NA NA 663 194 425 NA NA
1579388400.0 250408.0 230 0 108 NA NA 312 0 158 NA NA 853 214 381 NA NA 983 225 436 NA NA
1579388400.0 25202.0 NA 204 323 0 NA NA 276 408 0 NA NA 2443 3241 1326 NA NA 3031 3667 1361 NA
1579388400.0 25210.0 65 208 323 0 NA 156 277 401 0 NA 2869 1702 2347 1239 NA 4522 2141 2796 1271 NA
1579388400.0 25211.0 61 210 329 0 NA 156 281 413 0 NA 2510 2608 3555 1137 NA 4145 3565 4323 1164 NA
1579388400.0 25212.0 62 201 323 0 NA 156 277 408 0 NA 2516 2136 2669 1166 NA 4369 2840 3281 1228 NA
1579388400.0 25213.0 62 210 320 0 NA 156 281 405 0 NA 3587 2246 2756 1143 NA 5442 2983 3397 1178 NA
1579388400.0 25402.0 264 0 112 NA NA 366 0 156 NA NA 2785 240 398 NA NA 3269 254 478 NA NA
1579388400.0 25403.0 257 0 108 NA NA 354 0 153 NA NA 2189 232 340 NA NA 3313 249 419 NA NA
1579388400.0 25408.0 264 0 111 NA NA 376 0 161 NA NA 3173 247 479 NA NA 3674 262 541 NA NA
1579388400.0 280.0 58 87 191 0 NA 169 148 253 0 NA 3767 269 350 346 NA 3872 293 386 369 NA
1579388400.0 300.0 81 205 283 0 NA 132 279 356 0 NA 1852 815 1415 161 NA 1944 958 1533 190 NA
1579388400.0 302.0 81 207 284 0 NA 138 278 355 0 NA 1571 795 1381 160 NA 1681 908 1514 184 NA
1579388400.0 34.0 53 76 186 0 NA 97 148 253 0 NA 2510 269 348 352 NA 2540 296 396 382 NA
1579388400.0 37.0 NA 78 196 0 NA NA 146 257 0 NA NA 1593 1948 406 NA NA 1651 2026 434 NA
1579388400.0 4.17 NA 40 211 0 124 NA 72 276 0 182 NA 89 1628 298 423 NA 111 1712 320 462
1579388400.0 4.29 NA 32 216 0 126 NA 73 283 0 182 NA 96 1855 323 452 NA 112 1924 351 503
1579388400.0 4.41 NA 30 219 0 NA NA 73 295 0 NA NA 116 3483 337 NA NA 158 3559 357 NA
1579388400.0 4.44 NA 31 217 0 NA NA 73 283 0 NA NA 108 3024 327 NA NA 129 3102 356 NA
1579388400.0 4.51 NA 32 223 0 NA NA 74 304 0 NA NA 115 3861 333 NA NA 140 3922 355 NA
1579388400.0 4.58 NA 39 221 0 NA NA 83 292 0 NA NA 102 3110 347 NA NA 150 3203 382 NA
1579388400.0 4.65 NA 31 231 0 NA NA 73 307 0 NA NA 146 7188 356 NA NA 175 7301 374 NA
