Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1579388400.0 1.0 86 80 193 NA NA NA NA 184 359 317 NA NA NA NA 1386 440 871 NA NA NA NA 877 375 1052 NA NA NA NA
1579388400.0 10001.0 NA 187 659 92 0 NA NA NA 488 821 135 0 NA NA NA 1239 1980 349 1794 NA NA NA 1456 2377 610 2004 NA NA
1579388400.0 10002.0 NA 193 661 83 0 NA NA NA 485 823 134 0 NA NA NA 1247 1995 360 1606 NA NA NA 1456 2386 672 1836 NA NA
1579388400.0 10003.0 NA 191 660 83 0 NA NA NA 482 807 134 0 NA NA NA 1288 2034 361 1613 NA NA NA 1318 2383 668 1835 NA NA
1579388400.0 10004.0 NA 185 658 84 0 NA NA NA 480 818 135 0 NA NA NA 1218 1986 348 1585 NA NA NA 1441 2189 519 1703 NA NA
1579388400.0 10005.0 NA 186 661 84 0 NA NA NA 481 824 134 0 NA NA NA 1251 2001 479 1603 NA NA NA 1404 2629 603 1828 NA NA
1579388400.0 10006.0 NA 189 654 84 0 NA NA NA 483 793 134 0 NA NA NA 1216 1966 348 1597 NA NA NA 1485 2333 615 1757 NA NA
1579388400.0 10007.0 NA 190 665 94 0 NA NA NA 482 814 144 0 NA NA NA 1263 2013 370 1601 NA NA NA 1395 2222 500 1736 NA NA
1579388400.0 10008.0 NA 191 662 101 0 NA NA NA 480 815 145 0 NA NA NA 1323 1992 363 1619 NA NA NA 1621 2713 587 1760 NA NA
1579388400.0 10009.0 NA 191 662 93 0 NA NA NA 490 825 144 0 NA NA NA 1298 2017 372 1613 NA NA NA 1383 2118 602 1692 NA NA
1579388400.0 1002.0 NA 416 66 NA NA NA NA NA 528 122 NA NA NA NA NA 2610 405 NA NA NA NA NA 2155 333 NA NA NA NA
1579388400.0 10023.0 NA 190 653 83 0 NA NA NA 473 824 133 0 NA NA NA 1269 1997 352 1595 NA NA NA 1464 2368 494 1707 NA NA
1579388400.0 10024.0 NA 215 676 96 0 NA NA NA 482 812 146 0 NA NA NA 1445 2262 381 1644 NA NA NA 1448 2461 600 1831 NA NA
1579388400.0 10024.1 NA 215 267 0 NA NA NA NA 484 359 0 NA NA NA NA 1452 769 291 NA NA NA NA 1340 880 410 NA NA NA
1579388400.0 10024.2 NA 211 675 0 NA NA NA NA 480 835 0 NA NA NA NA 1475 2252 1630 NA NA NA NA 1546 2429 1869 NA NA NA
1579388400.0 10024.3 NA 210 239 0 NA NA NA NA 474 341 0 NA NA NA NA 1437 748 256 NA NA NA NA 1471 863 319 NA NA NA
1579388400.0 10024.4 NA 215 676 0 NA NA NA NA 481 841 0 NA NA NA NA 1439 2275 1650 NA NA NA NA 1497 2520 1873 NA NA NA
1579388400.0 10024.5 NA 214 264 0 NA NA NA NA 488 377 0 NA NA NA NA 1504 759 293 NA NA NA NA 1427 874 439 NA NA NA
1579388400.0 10024.6 NA 214 671 0 NA NA NA NA 489 836 0 NA NA NA NA 1445 2235 1601 NA NA NA NA 1540 2548 1708 NA NA NA
1579388400.0 10025.0 NA 201 668 83 0 NA NA NA 485 804 134 0 NA NA NA 1351 2126 359 1620 NA NA NA 1428 2373 550 1695 NA NA
1579388400.0 10026.0 NA 215 685 93 0 NA NA NA 481 848 144 0 NA NA NA 1465 2364 379 1645 NA NA NA 1412 2316 620 1814 NA NA
1579388400.0 1003.0 NA 310 0 NA NA NA NA NA 417 0 NA NA NA NA NA 2693 409 NA NA NA NA NA 1836 489 NA NA NA NA
1579388400.0 1004.0 NA 309 160 0 0 0 0 NA 394 212 0 0 0 0 NA 852 290 62 76 227 231 NA 2278 496 102 158 296 313
1579388400.0 10042.0 NA 198 667 95 0 NA NA NA 475 803 144 0 NA NA NA 1360 2136 375 1639 NA NA NA 1403 2466 581 1901 NA NA
1579388400.0 10059.0 NA 216 684 94 0 NA NA NA 485 851 145 0 NA NA NA 1550 2744 381 1659 NA NA NA 1710 2645 700 1885 NA NA
1579388400.0 10071.0 NA 202 674 84 0 NA NA NA 488 837 135 0 NA NA NA 1343 2161 365 1632 NA NA NA 1510 2245 602 1778 NA NA
1579388400.0 101.0 79 NA NA NA NA NA NA 148 NA NA NA NA NA NA 825 NA NA NA NA NA NA 1355 NA NA NA NA NA NA
1579388400.0 1010.0 NA 23 71 0 NA NA NA NA 68 120 0 NA NA NA NA 85 173 84 NA NA NA NA 168 218 122 NA NA NA
1579388400.0 102.0 81 NA NA NA NA NA NA 149 NA NA NA NA NA NA 657 NA NA NA NA NA NA 721 NA NA NA NA NA NA
1579388400.0 1020.0 NA 35 NA NA NA NA NA NA 101 NA NA NA NA NA NA 204 NA NA NA NA NA NA 329 NA NA NA NA NA
1579388400.0 10224.0 NA 378 932 0 NA NA NA NA 597 1152 0 NA NA NA NA 3995 4701 1684 NA NA NA NA 2508 3652 1923 NA NA NA
1579388400.0 10225.0 NA 371 888 0 NA NA NA NA 585 1108 0 NA NA NA NA 3487 4143 1682 NA NA NA NA 2468 3404 1812 NA NA NA
1579388400.0 103.0 43 0 0 NA NA NA NA 89 0 0 NA NA NA NA 675 210 1203 NA NA NA NA 482 331 1622 NA NA NA NA
1579388400.0 10424.0 NA 210 677 0 NA NA NA NA 473 846 0 NA NA NA NA 1378 2258 1662 NA NA NA NA 1528 2409 1886 NA NA NA
1579388400.0 105.0 86 81 22 NA NA NA NA 184 366 65 NA NA NA NA 1595 444 99 NA NA NA NA 790 473 158 NA NA NA NA
1579388400.0 106.0 43 0 0 NA NA NA NA 90 0 0 NA NA NA NA 650 207 1196 NA NA NA NA 523 277 1511 NA NA NA NA
1579388400.0 10823.0 63 192 663 83 0 NA NA 124 470 831 133 0 NA NA 1685 1344 2136 351 1650 NA NA 941 1429 2517 659 1780 NA NA
1579388400.0 10824.0 72 214 681 94 0 NA NA 134 481 821 145 0 NA NA 4204 1467 2315 390 1641 NA NA 1514 1584 2464 588 1797 NA NA
