Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1579388400.0 1.0 88 81 192 NA NA 184 359 323 NA NA 1518 480 911 NA NA 834 545 1233 NA NA
1579388400.0 1000.0 NA 390 152 0 51 NA 501 256 0 88 NA 2524 1160 583 249 NA 1647 904 839 288
1579388400.0 10001.0 NA 190 657 83 0 NA 486 814 134 0 NA 1230 1935 345 1612 NA 1261 2038 396 1698
1579388400.0 10002.0 NA 191 659 84 0 NA 481 831 135 0 NA 1266 1960 344 1618 NA 1385 1985 410 1741
1579388400.0 10003.0 NA 194 659 84 0 NA 478 818 135 0 NA 1267 2015 353 1659 NA 1164 2167 413 1758
1579388400.0 10004.0 NA 187 658 84 0 NA 480 822 135 0 NA 1207 1981 343 1613 NA 1375 2191 407 1706
1579388400.0 10005.0 NA 191 660 85 0 NA 482 820 134 0 NA 1228 1963 340 1617 NA 1323 2260 418 1707
1579388400.0 10006.0 NA 187 659 82 0 NA 488 805 134 0 NA 1203 1946 344 1588 NA 1344 2191 439 1673
1579388400.0 10007.0 NA 189 663 94 0 NA 492 820 145 0 NA 1246 2005 366 1610 NA 1299 2122 421 1678
1579388400.0 10008.0 NA 190 663 93 0 NA 477 822 144 0 NA 1268 1994 363 1604 NA 1148 2144 417 1694
1579388400.0 10009.0 NA 192 663 93 0 NA 480 801 145 0 NA 1268 2007 364 1609 NA 1315 2003 415 1739
1579388400.0 1002.0 NA 414 63 NA NA NA 512 121 NA NA NA 2739 320 NA NA NA 2409 357 NA NA
1579388400.0 10023.0 NA 189 658 84 0 NA 475 820 134 0 NA 1237 1959 343 1624 NA 1406 2116 422 1711
1579388400.0 10024.0 NA 214 680 95 0 NA 474 850 146 0 NA 1419 2213 357 1658 NA 1237 2138 398 1797
1579388400.0 10024.1 NA 216 263 0 NA NA 485 372 0 NA NA 1528 807 303 NA NA 1919 1093 390 NA
1579388400.0 10024.2 NA 215 675 0 NA NA 467 836 0 NA NA 1465 2296 1677 NA NA 1630 2395 1767 NA
1579388400.0 10024.3 NA 212 238 0 NA NA 477 343 0 NA NA 1500 779 266 NA NA 1446 1050 365 NA
1579388400.0 10024.4 NA 216 674 0 NA NA 477 837 0 NA NA 1446 2262 1662 NA NA 1395 2381 1767 NA
1579388400.0 10024.5 NA 211 264 0 NA NA 481 368 0 NA NA 1530 810 301 NA NA 1889 1110 402 NA
1579388400.0 10024.6 NA 218 671 0 NA NA 478 833 0 NA NA 1426 2190 1606 NA NA 1405 2237 1687 NA
1579388400.0 10025.0 NA 199 668 84 0 NA 482 830 134 0 NA 1331 2050 352 1673 NA 1232 1998 429 1812
1579388400.0 10026.0 NA 215 683 103 0 NA 474 843 145 0 NA 1483 2334 353 1653 NA 1240 2179 384 1736
1579388400.0 1003.0 NA 311 0 NA NA NA 417 0 NA NA NA 2815 415 NA NA NA 2111 464 NA NA
1579388400.0 10042.0 NA 204 667 103 0 NA 481 831 145 0 NA 1338 2091 367 1636 NA 1476 2115 426 1714
1579388400.0 10059.0 NA 219 681 94 0 NA 481 854 144 0 NA 1514 2669 360 1649 NA 1334 2331 435 1746
1579388400.0 10071.0 NA 200 675 84 0 NA 482 830 135 0 NA 1311 2150 357 1641 NA 1487 2243 409 1743
1579388400.0 101.0 79 NA NA NA NA 148 NA NA NA NA 853 NA NA NA NA 948 NA NA NA NA
1579388400.0 1010.0 NA 29 69 0 NA NA 68 120 0 NA NA 101 172 79 NA NA 862 253 101 NA
1579388400.0 102.0 82 NA NA NA NA 149 NA NA NA NA 687 NA NA NA NA 774 NA NA NA NA
1579388400.0 1020.0 NA 35 NA NA NA NA 105 NA NA NA NA 212 NA NA NA NA 323 NA NA NA
1579388400.0 10224.0 NA 383 945 0 NA NA 561 1167 0 NA NA 3721 4628 1744 NA NA 2570 3490 1920 NA
1579388400.0 10225.0 NA 385 896 0 NA NA 585 1158 0 NA NA 3883 4299 1726 NA NA 2775 3377 1935 NA
1579388400.0 103.0 43 0 0 NA NA 90 0 0 NA NA 819 209 1231 NA NA 787 284 1782 NA NA
1579388400.0 10424.0 NA 211 675 0 NA NA 481 839 0 NA NA 1413 2209 1661 NA NA 1334 2325 1762 NA
1579388400.0 105.0 83 79 25 NA NA 180 367 65 NA NA 1641 431 103 NA NA 883 330 149 NA NA
1579388400.0 106.0 43 0 0 NA NA 89 0 0 NA NA 777 226 1252 NA NA 616 295 1820 NA NA
1579388400.0 10823.0 70 198 665 84 0 124 477 824 133 0 1614 1290 2051 356 1706 776 1683 2241 507 2094
1579388400.0 10825.0 68 204 680 85 0 129 479 838 135 0 3405 1349 2128 345 1617 1158 1148 2351 418 1681
1579388400.0 10826.0 75 218 689 93 0 140 485 823 146 0 5968 1495 2507 384 1631 2261 1265 2406 431 1729
1579388400.0 10842.0 58 196 656 96 0 110 473 820 146 0 1197 1163 2007 378 1699 717 1674 2228 530 2021
1579388400.0 110.0 59 81 425 NA NA 124 359 532 NA NA 882 431 1414 NA NA 528 419 2042 NA NA
1579388400.0 111.0 87 85 430 NA NA 183 367 543 NA NA 1632 361 1412 NA NA 759 296 1585 NA NA
1579388400.0 11224.0 73 214 684 0 NA 135 482 826 0 NA 3982 1419 2276 1681 NA 1604 1178 2125 1820 NA
1579388400.0 11623.0 66 200 667 82 0 110 478 827 134 0 1409 1467 2283 376 1791 749 1678 2412 503 2116
1579388400.0 11625.0 67 205 681 93 0 114 471 838 144 0 2708 1472 2355 448 1752 1178 1285 2271 557 1882
1579388400.0 11642.0 58 197 665 94 0 104 472 825 144 0 1111 1339 2142 460 1786 715 1750 2372 844 2023
1579388400.0 120.0 65 81 421 NA NA 137 367 533 NA NA 785 404 1371 NA NA 517 333 1583 NA NA
1579388400.0 12024.0 72 218 698 0 NA 121 475 835 0 NA 3482 1594 2461 1734 NA 1321 1392 2473 1827 NA
1579388400.0 122.0 58 78 416 NA NA 130 359 530 NA NA 896 333 1401 NA NA 634 405 1973 NA NA
1579388400.0 123.1 311 NA NA NA NA 509 NA NA NA NA 1067 NA NA NA NA 1151 NA NA NA NA
1579388400.0 123.2 318 NA NA NA NA 518 NA NA NA NA 1137 NA NA NA NA 1158 NA NA NA NA
1579388400.0 123.3 259 NA NA NA NA 501 NA NA NA NA 920 NA NA NA NA 1024 NA NA NA NA
1579388400.0 124.1 301 NA NA NA NA 508 NA NA NA NA 937 NA NA NA NA 1167 NA NA NA NA
1579388400.0 124.2 310 NA NA NA NA 502 NA NA NA NA 1052 NA NA NA NA 1103 NA NA NA NA
1579388400.0 124.4 307 NA NA NA NA 509 NA NA NA NA 941 NA NA NA NA 1134 NA NA NA NA
1579388400.0 124.5 305 NA NA NA NA 508 NA NA NA NA 944 NA NA NA NA 1131 NA NA NA NA
1579388400.0 124.6 260 NA NA NA NA 493 NA NA NA NA 924 NA NA NA NA 1023 NA NA NA NA
1579388400.0 126.0 61 77 428 NA NA 148 367 545 NA NA 987 442 1438 NA NA 1648 422 2070 NA NA
1579388400.0 127.0 60 78 427 NA NA 124 366 535 NA NA 870 426 1435 NA NA 738 443 1984 NA NA
1579388400.0 128.0 56 81 422 NA NA 114 359 549 NA NA 776 433 1405 NA NA 493 426 1883 NA NA
1579388400.0 129.0 62 79 423 NA NA 122 367 553 NA NA 451 415 1374 NA NA 652 351 1534 NA NA
1579388400.0 130.0 60 81 422 NA NA 132 367 553 NA NA 860 424 1346 NA NA 519 335 1488 NA NA
1579388400.0 1301.0 83 94 215 NA NA 151 377 341 NA NA 1522 577 1087 NA NA 857 629 1487 NA NA
1579388400.0 1306.0 NA 96 545 0 NA NA 373 663 0 NA NA 458 1516 565 NA NA 593 1823 1072 NA
1579388400.0 1307.0 NA 92 180 44 0 NA 371 258 86 0 NA 498 572 126 209 NA 643 986 180 279
1579388400.0 1308.0 NA 91 174 46 0 NA 379 259 85 0 NA 448 508 132 211 NA 724 836 261 296
1579388400.0 1309.0 NA 107 569 0 NA NA 380 678 0 NA NA 536 1758 593 NA NA 818 1915 684 NA
