Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1579388400.0 1.0 83 89 194 NA NA NA NA NA 180 366 315 NA NA NA NA NA 1457 429 844 NA NA NA NA NA 891 428 999 NA NA NA NA NA
1579388400.0 1000.0 NA 389 154 0 49 NA NA NA NA 505 254 0 89 NA NA NA NA 2433 1179 555 241 NA NA NA NA 1716 915 638 269 NA NA NA
1579388400.0 10001.0 NA 187 665 83 0 NA NA NA NA 480 820 134 0 NA NA NA NA 1271 1949 345 1586 NA NA NA NA 1391 2078 442 2233 NA NA NA
1579388400.0 10002.0 NA 191 664 83 0 NA NA NA NA 477 819 134 0 NA NA NA NA 1273 2002 350 1587 NA NA NA NA 1279 2392 543 1696 NA NA NA
1579388400.0 10003.0 NA 196 662 83 0 NA NA NA NA 488 827 134 0 NA NA NA NA 1276 2025 358 1593 NA NA NA NA 1403 2158 459 1686 NA NA NA
1579388400.0 10004.0 NA 187 658 83 0 NA NA NA NA 488 824 135 0 NA NA NA NA 1232 1982 352 1646 NA NA NA NA 1357 2528 445 2023 NA NA NA
1579388400.0 10005.0 NA 186 670 84 0 NA NA NA NA 480 818 135 0 NA NA NA NA 1252 1959 343 1590 NA NA NA NA 1259 2134 489 1690 NA NA NA
1579388400.0 10006.0 NA 185 657 92 0 NA NA NA NA 488 815 134 0 NA NA NA NA 1212 1957 349 1581 NA NA NA NA 1344 2418 622 1652 NA NA NA
1579388400.0 10007.0 NA 190 669 93 0 NA NA NA NA 481 802 144 0 NA NA NA NA 1274 2038 368 1591 NA NA NA NA 1409 2456 536 1674 NA NA NA
1579388400.0 10008.0 NA 190 666 95 0 NA NA NA NA 474 821 144 0 NA NA NA NA 1268 2044 367 1596 NA NA NA NA 1329 2509 489 1683 NA NA NA
1579388400.0 10009.0 NA 195 673 97 0 NA NA NA NA 482 819 143 0 NA NA NA NA 1291 2034 366 1589 NA NA NA NA 1405 2460 590 1668 NA NA NA
1579388400.0 1001.0 NA 364 176 0 0 0 0 0 NA 472 228 0 0 0 0 0 NA 2084 426 65 83 227 110 225 NA 1455 516 156 113 273 169 255
1579388400.0 1002.0 NA 414 63 NA NA NA NA NA NA 508 122 NA NA NA NA NA NA 2654 380 NA NA NA NA NA NA 2502 325 NA NA NA NA NA
1579388400.0 10023.0 NA 188 654 82 0 NA NA NA NA 474 819 133 0 NA NA NA NA 1246 1974 344 1777 NA NA NA NA 1200 2060 445 1881 NA NA NA
1579388400.0 10024.0 NA 214 680 96 0 NA NA NA NA 476 834 146 0 NA NA NA NA 1453 2209 368 1630 NA NA NA NA 1363 2114 539 1941 NA NA NA
1579388400.0 10024.1 NA 211 264 0 NA NA NA NA NA 482 367 0 NA NA NA NA NA 1439 750 289 NA NA NA NA NA 1434 789 343 NA NA NA NA
1579388400.0 10024.2 NA 214 673 0 NA NA NA NA NA 482 842 0 NA NA NA NA NA 1430 2227 1594 NA NA NA NA NA 1375 2260 1642 NA NA NA NA
1579388400.0 10024.3 NA 211 242 0 NA NA NA NA NA 474 345 0 NA NA NA NA NA 1422 736 262 NA NA NA NA NA 1529 788 312 NA NA NA NA
1579388400.0 10024.4 NA 217 684 0 NA NA NA NA NA 482 849 0 NA NA NA NA NA 1438 2242 1623 NA NA NA NA NA 1476 2271 1696 NA NA NA NA
