Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1579388400.0 1.0 72 168 192 NA NA NA 185 581 333 NA NA NA 1451 386 1143 NA NA NA 726 359 1316 NA NA NA
1579388400.0 1000.0 NA 281 155 0 52 NA NA 441 277 0 100 NA NA 2346 1072 654 256 NA NA 1240 858 708 307 NA
1579388400.0 10024.2 NA 166 375 0 NA NA NA 605 554 0 NA NA NA 648 1911 1124 NA NA NA 384 1738 1356 NA NA
1579388400.0 10024.4 NA 164 365 0 NA NA NA 604 540 0 NA NA NA 663 1920 1108 NA NA NA 449 1876 1291 NA NA
1579388400.0 103.0 62 144 274 NA NA NA 153 583 410 NA NA NA 1337 304 1548 NA NA NA 876 427 1834 NA NA NA
1579388400.0 106.0 47 0 0 NA NA NA 103 0 0 NA NA NA 729 189 1366 NA NA NA 481 237 1562 NA NA NA
1579388400.0 10801.0 NA 252 381 0 85 178 NA 673 590 0 147 260 NA 1720 1948 1905 397 1297 NA 1884 2586 2278 542 1620
1579388400.0 10802.0 NA 263 375 0 84 178 NA 690 608 0 150 263 NA 1734 1980 1922 367 1284 NA 1962 2852 2164 458 1410
1579388400.0 10803.0 NA 256 383 0 86 182 NA 658 581 0 150 287 NA 1827 1999 1914 436 1336 NA 2287 2372 2165 482 1479
1579388400.0 10804.0 NA 263 378 0 85 166 NA 644 581 0 141 251 NA 1706 1957 1903 469 1280 NA 1875 2616 2281 548 1431
1579388400.0 10805.0 NA 250 376 0 86 177 NA 690 552 0 140 281 NA 1820 1955 1915 396 1310 NA 2269 2378 2175 513 1502
1579388400.0 10806.0 NA 256 369 0 84 145 NA 678 590 0 147 221 NA 1718 1918 1893 457 1295 NA 2017 2436 2143 526 1482
1579388400.0 10807.0 NA 258 390 0 102 180 NA 719 590 0 162 256 NA 1724 1885 1835 379 1297 NA 1366 1908 1883 404 1402
1579388400.0 10808.0 NA 263 388 0 103 177 NA 633 591 0 157 270 NA 1636 1926 1869 377 1301 NA 1339 1945 2089 403 1390
1579388400.0 10809.0 NA 253 382 0 94 180 NA 692 580 0 153 285 NA 1903 2029 1921 383 1341 NA 2642 2416 2151 486 1638
1579388400.0 10823.0 NA 247 370 0 88 142 NA 706 581 0 140 239 NA 1705 1921 1889 474 1295 NA 2562 2391 2090 556 1539
1579388400.0 10824.0 NA 274 392 0 94 183 NA 650 579 0 158 273 NA 1789 2141 1937 444 1356 NA 1677 2768 2135 570 1650
1579388400.0 10824.6 NA 271 400 0 94 183 NA 665 605 0 151 279 NA 1752 2094 1895 462 1353 NA 1500 2013 1963 494 1435
1579388400.0 10824.8 NA 272 409 0 95 184 NA 711 697 0 159 285 NA 1757 2354 1901 405 1341 NA 1441 2308 1965 420 1429
1579388400.0 10825.0 NA 266 396 0 89 180 NA 687 591 0 144 265 NA 1687 1980 1863 379 1310 NA 1409 1927 1982 414 1424
1579388400.0 10826.0 NA 283 402 0 85 190 NA 628 609 0 138 294 NA 1830 2399 1944 488 1400 NA 1640 2822 2183 547 1606
1579388400.0 10842.0 NA 270 389 0 94 180 NA 694 627 0 157 281 NA 1774 2103 1945 396 1338 NA 1859 2668 2159 464 1579
