Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1579388400.0 10006.0 NA 163 325 0 70 156 NA 236 384 0 106 219 NA 1396 3223 1606 491 1053 NA 1578 3556 1666 566 1129
1579388400.0 1001.2 NA 302 121 0 NA NA NA 392 161 0 NA NA NA 35536 4006 224 NA NA NA 36953 4107 291 NA NA
1579388400.0 101.0 90 NA NA NA NA NA 137 NA NA NA NA NA 3776 NA NA NA NA NA 3895 NA NA NA NA NA
1579388400.0 1010.0 NA 32 49 0 NA NA NA 101 75 0 NA NA NA 543 759 586 NA NA NA 675 868 639 NA NA
1579388400.0 102.0 90 NA NA NA NA NA 137 NA NA NA NA NA 3206 NA NA NA NA NA 3365 NA NA NA NA NA
1579388400.0 1020.0 NA 40 36 0 44 NA NA 112 59 0 114 NA NA 894 497 302 887 NA NA 1006 573 348 977 NA
1579388400.0 1030.0 NA 146 54 0 0 NA NA 229 78 0 0 NA NA 17330 524 123 132 NA NA 17571 568 190 168 NA
1579388400.0 1040.0 NA 267 42 0 NA NA NA 355 66 0 NA NA NA 23856 250 215 NA NA NA 24881 300 238 NA NA
1579388400.0 1040.1 NA 65 33 0 NA NA NA 141 65 0 NA NA NA 1357 627 565 NA NA NA 1493 694 656 NA NA
1579388400.0 105.0 57 83 38 NA NA NA 108 119 65 NA NA NA 4802 1586 518 NA NA NA 4953 1723 604 NA NA NA
1579388400.0 107.0 59 88 243 NA NA NA 110 121 308 NA NA NA 6295 770 2949 NA NA NA 6631 842 3110 NA NA NA
