Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1579388400.0 10001.0 NA 188 653 83 0 NA NA NA 483 815 133 0 NA NA NA 532 889 177 1246 NA NA NA 488 947 228 1265 NA NA
1579388400.0 10002.0 NA 189 650 80 0 NA NA NA 477 812 133 0 NA NA NA 521 894 178 1251 NA NA NA 493 945 210 1268 NA NA
1579388400.0 10003.0 NA 191 653 81 0 NA NA NA 479 820 133 0 NA NA NA 555 908 177 1247 NA NA NA 399 938 235 1262 NA NA
1579388400.0 10004.0 NA 184 653 89 0 NA NA NA 472 818 132 0 NA NA NA 516 859 175 1234 NA NA NA 368 937 273 1262 NA NA
1579388400.0 10005.0 NA 190 654 80 0 NA NA NA 478 813 132 0 NA NA NA 503 863 176 1235 NA NA NA 392 959 222 1282 NA NA
1579388400.0 10006.0 NA 186 650 90 0 NA NA NA 476 806 133 0 NA NA NA 513 863 173 1248 NA NA NA 485 1016 220 1267 NA NA
1579388400.0 10007.0 NA 189 653 90 0 NA NA NA 470 813 143 0 NA NA NA 545 900 201 1263 NA NA NA 455 925 383 1283 NA NA
1579388400.0 10008.0 NA 192 653 90 0 NA NA NA 477 809 143 0 NA NA NA 534 896 193 1257 NA NA NA 492 914 308 1272 NA NA
1579388400.0 10009.0 NA 191 655 91 0 NA NA NA 479 817 142 0 NA NA NA 560 916 199 1255 NA NA NA 421 895 442 1272 NA NA
1579388400.0 1002.0 NA 471 71 NA NA NA NA NA 549 124 NA NA NA NA NA 1726 282 NA NA NA NA NA 1027 181 NA NA NA NA
1579388400.0 10023.0 NA 188 652 85 0 NA NA NA 470 813 132 0 NA NA NA 517 867 172 1251 NA NA NA 420 894 232 1265 NA NA
1579388400.0 10024.0 NA 212 675 91 0 NA NA NA 485 838 145 0 NA NA NA 723 1156 198 1289 NA NA NA 516 921 285 1318 NA NA
1579388400.0 10024.1 NA 219 264 0 NA NA NA NA 479 395 0 NA NA NA NA 712 420 192 NA NA NA NA 492 581 201 NA NA NA
1579388400.0 10024.2 NA 219 669 0 NA NA NA NA 480 829 0 NA NA NA NA 743 1138 1278 NA NA NA NA 496 996 1294 NA NA NA
1579388400.0 10024.3 NA 214 246 0 NA NA NA NA 471 339 0 NA NA NA NA 717 399 159 NA NA NA NA 448 369 171 NA NA NA
1579388400.0 10024.4 NA 217 673 0 NA NA NA NA 478 834 0 NA NA NA NA 668 1156 1298 NA NA NA NA 498 1022 1330 NA NA NA
1579388400.0 10024.5 NA 214 266 0 NA NA NA NA 485 378 0 NA NA NA NA 692 414 192 NA NA NA NA 499 449 205 NA NA NA
1579388400.0 10024.6 NA 218 667 0 NA NA NA NA 484 831 0 NA NA NA NA 710 1165 1255 NA NA NA NA 609 1023 1329 NA NA NA
1579388400.0 10025.0 NA 211 668 81 0 NA NA NA 481 818 132 0 NA NA NA 619 997 181 1285 NA NA NA 498 999 363 1342 NA NA
1579388400.0 10026.0 NA 221 683 95 0 NA NA NA 478 829 141 0 NA NA NA 778 1313 209 1289 NA NA NA 569 1020 260 1345 NA NA
1579388400.0 1004.0 NA 349 359 0 0 0 0 NA 435 444 0 0 0 0 NA 507 296 6 20 490 490 NA 723 333 14 24 499 499
1579388400.0 10042.0 NA 198 665 91 0 NA NA NA 471 824 144 0 NA NA NA 595 1009 199 1288 NA NA NA 419 1004 304 1301 NA NA
1579388400.0 10059.0 NA 225 681 101 0 NA NA NA 480 839 143 0 NA NA NA 799 1583 195 1286 NA NA NA 560 1150 330 1362 NA NA
1579388400.0 10071.0 NA 208 675 90 0 NA NA NA 483 821 142 0 NA NA NA 645 1178 198 1279 NA NA NA 626 1090 275 1330 NA NA
1579388400.0 10224.0 NA 336 925 0 NA NA NA NA 533 1178 0 NA NA NA NA 3816 4422 1297 NA NA NA NA 4625 2273 1334 NA NA NA
1579388400.0 10225.0 NA 308 950 0 NA NA NA NA 528 1191 0 NA NA NA NA 3564 4386 1292 NA NA NA NA 4372 2480 1376 NA NA NA
1579388400.0 10424.0 NA 210 674 0 NA NA NA NA 468 835 0 NA NA NA NA 700 1112 1307 NA NA NA NA 558 995 1325 NA NA NA
1579388400.0 10823.0 63 196 657 84 0 NA NA 123 472 811 132 0 NA NA 1656 530 886 177 1255 NA NA 782 362 870 223 1320 NA NA
1579388400.0 10842.0 57 193 652 94 0 NA NA 111 468 809 143 0 NA NA 1322 387 829 193 1255 NA NA 648 327 880 240 1276 NA NA
1579388400.0 110.0 60 82 450 NA NA NA NA 123 361 558 NA NA NA NA 815 326 412 NA NA NA NA 422 247 529 NA NA NA NA
1579388400.0 11623.0 62 198 661 79 0 NA NA 109 485 813 132 0 NA NA 1517 638 1089 194 1347 NA NA 809 526 1082 260 1422 NA NA
1579388400.0 11642.0 63 187 664 90 0 NA NA 102 482 823 145 0 NA NA 1188 531 973 265 1384 NA NA 645 437 985 312 1452 NA NA
1579388400.0 12024.0 77 223 683 0 NA NA NA 119 474 822 0 NA NA NA 3915 902 1374 1376 NA NA NA 1326 603 1153 1406 NA NA NA
1579388400.0 122.0 58 77 441 NA NA NA NA 107 361 565 NA NA NA NA 821 211 397 NA NA NA NA 615 178 505 NA NA NA NA
1579388400.0 126.0 60 80 457 NA NA NA NA 147 368 560 NA NA NA NA 1152 327 424 NA NA NA NA 502 199 456 NA NA NA NA
1579388400.0 127.0 58 79 450 NA NA NA NA 124 368 550 NA NA NA NA 1090 328 416 NA NA NA NA 481 342 456 NA NA NA NA
1579388400.0 128.0 57 82 447 NA NA NA NA 121 369 545 NA NA NA NA 690 316 408 NA NA NA NA 358 224 565 NA NA NA NA
1579388400.0 129.0 57 80 450 NA NA NA NA 129 369 547 NA NA NA NA 770 328 400 NA NA NA NA 448 214 492 NA NA NA NA
1579388400.0 13.0 NA 99 466 0 NA NA NA NA 372 558 0 NA NA NA NA 311 881 302 NA NA NA NA 262 926 317 NA NA NA
1579388400.0 130.0 59 89 447 NA NA NA NA 125 368 544 NA NA NA NA 801 339 412 NA NA NA NA 474 221 486 NA NA NA NA
1579388400.0 1301.0 79 94 178 NA NA NA NA 150 373 276 NA NA NA NA 1364 419 271 NA NA NA NA 678 460 301 NA NA NA NA
1579388400.0 131.0 59 82 452 NA NA NA NA 125 368 556 NA NA NA NA 1207 336 425 NA NA NA NA 516 227 458 NA NA NA NA
1579388400.0 1310.0 NA 101 574 0 NA NA NA NA 380 675 0 NA NA NA NA 386 583 406 NA NA NA NA 368 745 439 NA NA NA
1579388400.0 1311.0 NA 94 581 0 57 NA NA NA 383 696 0 106 NA NA NA 363 498 426 51 NA NA NA 312 702 444 103 NA NA
1579388400.0 1316.0 NA 92 570 0 NA NA NA NA 380 677 0 NA NA NA NA 356 505 387 NA NA NA NA 341 586 404 NA NA NA
1579388400.0 1317.0 NA 90 561 0 NA NA NA NA 378 674 0 NA NA NA NA 337 483 390 NA NA NA NA 354 608 442 NA NA NA
1579388400.0 1318.0 NA 91 560 0 NA NA NA NA 378 665 0 NA NA NA NA 354 510 387 NA NA NA NA 355 607 424 NA NA NA
1579388400.0 1319.0 NA 92 560 0 NA NA NA NA 384 679 0 NA NA NA NA 352 502 388 NA NA NA NA 376 626 411 NA NA NA
1579388400.0 1322.0 NA 93 567 0 NA NA NA NA 381 685 0 NA NA NA NA 365 565 393 NA NA NA NA 456 615 408 NA NA NA
