Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobTime1 TotalJobTime2 TotalJobTime3
1579388400.0 1.0 74 143 197 196 583 542 937 389 1031 943 358 1117
1579388400.0 123.1 327 NA NA 850 NA NA 1159 NA NA 1190 NA NA
1579388400.0 123.2 340 NA NA 850 NA NA 1300 NA NA 1298 NA NA
1579388400.0 123.3 248 NA NA 805 NA NA 1020 NA NA 1087 NA NA
1579388400.0 124.1 295 NA NA 922 NA NA 1034 NA NA 1094 NA NA
1579388400.0 124.2 320 NA NA 850 NA NA 1116 NA NA 1229 NA NA
1579388400.0 124.5 312 NA NA 851 NA NA 1071 NA NA 1181 NA NA
1579388400.0 124.6 252 NA NA 853 NA NA 1042 NA NA 1101 NA NA
1579388400.0 144.6 NA 303 NA NA 624 NA NA 2405 NA NA 1957 NA
1579388400.0 512.0 14 38 0 59 89 0 3080 153 103 6217 199 148
1579388400.0 515.0 14 32 0 59 88 0 3061 165 105 6419 302 161
1579388400.0 518.0 14 37 0 59 88 0 3059 164 116 6418 247 335
1579388400.0 522.0 14 39 0 59 89 0 3079 155 103 6209 201 148
1579388400.0 526.0 14 37 0 59 88 0 3072 178 109 6416 215 179
