Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1579388400.0 1.0 65 97 175 NA NA NA NA NA NA 161 442 522 NA NA NA NA NA NA 989 444 1119 NA NA NA NA NA NA 782 359 1242 NA NA NA NA NA NA
1579388400.0 1000.0 NA 281 151 0 50 NA NA NA NA NA 598 264 0 103 NA NA NA NA NA 2883 1141 611 286 NA NA NA NA NA 1729 960 685 379 NA NA NA NA
1579388400.0 10002.0 NA 201 361 0 67 137 NA NA NA NA 535 749 0 130 274 NA NA NA NA 2562 1799 789 293 623 NA NA NA NA 3870 2560 831 319 669 NA NA NA
1579388400.0 10003.0 NA 203 357 0 72 143 NA NA NA NA 535 747 0 130 275 NA NA NA NA 2476 1799 801 290 624 NA NA NA NA 919 1850 874 305 805 NA NA NA
1579388400.0 10008.0 NA 203 362 0 69 136 NA NA NA NA 541 656 0 126 257 NA NA NA NA 2493 1851 803 224 630 NA NA NA NA 906 1977 924 299 684 NA NA NA
1579388400.0 1001.0 NA 254 108 0 0 0 0 0 0 NA 562 197 0 0 0 0 0 0 NA 2552 605 90 66 104 234 112 246 NA 1685 519 121 101 146 292 155 357
1579388400.0 1002.0 NA 279 68 NA NA NA NA NA NA NA 535 141 NA NA NA NA NA NA NA 2985 373 NA NA NA NA NA NA NA 2303 251 NA NA NA NA NA NA
1579388400.0 10024.0 NA 212 373 0 71 145 NA NA NA NA 548 708 0 131 283 NA NA NA NA 2561 2056 825 233 664 NA NA NA NA 895 1941 886 307 691 NA NA NA
1579388400.0 10025.0 NA 208 369 0 65 138 NA NA NA NA 554 768 0 126 275 NA NA NA NA 2542 1900 810 314 621 NA NA NA NA 891 1931 1041 346 688 NA NA NA
1579388400.0 10026.0 NA 214 380 0 73 146 NA NA NA NA 581 702 0 131 289 NA NA NA NA 2602 2218 818 236 671 NA NA NA NA 942 1940 861 323 804 NA NA NA
1579388400.0 1003.0 NA 254 0 NA NA NA NA NA NA NA 577 0 NA NA NA NA NA NA NA 3006 472 NA NA NA NA NA NA NA 1719 516 NA NA NA NA NA NA
1579388400.0 1004.0 NA 205 83 0 0 0 0 NA NA NA 355 154 0 0 0 0 NA NA NA 817 287 63 99 234 249 NA NA NA 1111 428 92 143 272 343 NA NA
1579388400.0 10042.0 NA 207 369 0 73 135 NA NA NA NA 534 757 0 126 256 NA NA NA NA 2569 1911 817 231 633 NA NA NA NA 917 1946 880 319 698 NA NA NA
1579388400.0 10059.0 NA 220 384 0 69 145 NA NA NA NA 553 791 0 130 289 NA NA NA NA 2604 2815 843 237 685 NA NA NA NA 943 2299 921 322 741 NA NA NA
1579388400.0 10071.0 NA 212 375 0 66 147 NA NA NA NA 549 764 0 131 273 NA NA NA NA 2564 2099 823 232 666 NA NA NA NA 914 2018 930 316 693 NA NA NA
1579388400.0 101.0 77 NA NA NA NA NA NA NA NA 164 NA NA NA NA NA NA NA NA 768 NA NA NA NA NA NA NA NA 864 NA NA NA NA NA NA NA NA
1579388400.0 1010.0 NA 24 39 0 NA NA NA NA NA NA 81 96 0 NA NA NA NA NA NA 140 179 122 NA NA NA NA NA NA 565 199 155 NA NA NA NA NA
1579388400.0 102.0 76 NA NA NA NA NA NA NA NA 164 NA NA NA NA NA NA NA NA 662 NA NA NA NA NA NA NA NA 741 NA NA NA NA NA NA NA NA
1579388400.0 1020.0 NA 36 21 0 40 NA NA NA NA NA 138 70 0 140 NA NA NA NA NA 239 97 61 227 NA NA NA NA NA 576 151 99 335 NA NA NA NA
1579388400.0 10224.0 NA 379 570 0 147 NA NA NA NA NA 738 976 0 260 NA NA NA NA NA 4586 4094 844 691 NA NA NA NA NA 1738 2803 902 755 NA NA NA NA
1579388400.0 10225.0 NA 366 591 0 139 NA NA NA NA NA 792 950 0 263 NA NA NA NA NA 4584 3828 842 663 NA NA NA NA NA 1810 2522 901 748 NA NA NA NA
1579388400.0 103.0 31 0 0 NA NA NA NA NA NA 92 0 0 NA NA NA NA NA NA 372 222 1353 NA NA NA NA NA NA 438 284 1564 NA NA NA NA NA NA
1579388400.0 1040.1 NA 58 29 0 NA NA NA NA NA NA 125 80 0 NA NA NA NA NA NA 333 132 110 NA NA NA NA NA NA 444 169 152 NA NA NA NA NA
1579388400.0 105.0 64 101 28 NA NA NA NA NA NA 165 427 77 NA NA NA NA NA NA 922 448 112 NA NA NA NA NA NA 749 356 165 NA NA NA NA NA NA
1579388400.0 106.0 31 0 0 NA NA NA NA NA NA 92 0 0 NA NA NA NA NA NA 374 221 1348 NA NA NA NA NA NA 418 204 1655 NA NA NA NA NA NA
1579388400.0 10803.0 NA 195 363 0 67 141 NA NA NA NA 592 702 0 129 267 NA NA NA NA 2415 1872 798 228 662 NA NA NA NA 1863 2315 848 304 677 NA NA NA
1579388400.0 10805.0 NA 192 366 0 64 137 NA NA NA NA 522 700 0 125 275 NA NA NA NA 2446 1757 795 281 632 NA NA NA NA 1198 5618 848 310 693 NA NA NA
1579388400.0 10824.0 NA 209 379 0 70 140 NA NA NA NA 540 722 0 125 282 NA NA NA NA 2495 2030 825 238 651 NA NA NA NA 915 2059 1056 308 691 NA NA NA
1579388400.0 10824.6 NA 208 372 0 71 138 NA NA NA NA 542 672 0 125 262 NA NA NA NA 2505 2063 834 238 643 NA NA NA NA 904 1946 901 318 678 NA NA NA
1579388400.0 10824.8 NA 206 372 0 74 139 NA NA NA NA 568 711 0 130 281 NA NA NA NA 2480 2083 828 233 656 NA NA NA NA 906 1913 899 331 777 NA NA NA
1579388400.0 10825.0 NA 198 361 0 66 136 NA NA NA NA 596 708 0 126 261 NA NA NA NA 2417 1868 821 295 638 NA NA NA NA 911 1859 931 331 685 NA NA NA
1579388400.0 10826.0 NA 206 383 0 75 144 NA NA NA NA 539 682 0 131 285 NA NA NA NA 2463 2208 828 238 670 NA NA NA NA 901 1983 879 313 779 NA NA NA
1579388400.0 10842.0 NA 199 363 0 68 139 NA NA NA NA 566 701 0 127 256 NA NA NA NA 2420 1854 809 229 629 NA NA NA NA 936 5927 851 309 685 NA NA NA
1579388400.0 10871.0 NA 203 366 0 65 149 NA NA NA NA 518 709 0 124 283 NA NA NA NA 2426 1978 825 325 633 NA NA NA NA 880 1886 891 338 689 NA NA NA
1579388400.0 110.0 53 97 249 NA NA NA NA NA NA 121 457 574 NA NA NA NA NA NA 513 442 1585 NA NA NA NA NA NA 608 411 1928 NA NA NA NA NA NA
1579388400.0 11025.0 NA 427 687 0 135 NA NA NA NA NA 790 1072 0 263 NA NA NA NA NA 5631 4782 850 671 NA NA NA NA NA 2062 2793 937 773 NA NA NA NA
1579388400.0 111.0 66 102 262 NA NA NA NA NA NA 161 457 591 NA NA NA NA NA NA 1365 418 1612 NA NA NA NA NA NA 769 381 1718 NA NA NA NA NA NA
1579388400.0 11634.0 NA 256 396 0 90 NA NA NA NA NA 603 665 0 153 NA NA NA NA NA 2070 2307 1569 737 NA NA NA NA NA 2908 3040 1788 799 NA NA NA NA
1579388400.0 11634.7 NA 256 400 0 NA NA NA NA NA NA 617 719 0 NA NA NA NA NA NA 1915 2282 1543 NA NA NA NA NA NA 1521 2243 1601 NA NA NA NA NA
1579388400.0 11640.0 NA 235 373 0 76 NA NA NA NA NA 609 715 0 133 NA NA NA NA NA 1856 2017 1548 633 NA NA NA NA NA 1509 2210 1704 716 NA NA NA NA
1579388400.0 11646.0 NA 250 389 0 83 NA NA NA NA NA 636 668 0 147 NA NA NA NA NA 1986 2208 1667 689 NA NA NA NA NA 1678 2317 1851 777 NA NA NA NA
1579388400.0 11650.0 NA 250 388 0 85 NA NA NA NA NA 601 715 0 161 NA NA NA NA NA 2073 2163 1564 728 NA NA NA NA NA 2823 2504 1646 778 NA NA NA NA
1579388400.0 120.0 50 98 244 NA NA NA NA NA NA 122 406 542 NA NA NA NA NA NA 486 461 1559 NA NA NA NA NA NA 520 541 1934 NA NA NA NA NA NA
1579388400.0 12024.0 NA 269 397 0 NA NA NA NA NA NA 656 670 0 NA NA NA NA NA NA 2028 2305 1559 NA NA NA NA NA NA 1577 2154 1845 NA NA NA NA NA
1579388400.0 122.0 30 0 0 NA NA NA NA NA NA 92 0 0 NA NA NA NA NA NA 374 221 1349 NA NA NA NA NA NA 424 239 1535 NA NA NA NA NA NA
1579388400.0 123.1 271 NA NA NA NA NA NA NA NA 902 NA NA NA NA NA NA NA NA 1226 NA NA NA NA NA NA NA NA 1269 NA NA NA NA NA NA NA NA
1579388400.0 123.2 272 NA NA NA NA NA NA NA NA 841 NA NA NA NA NA NA NA NA 1351 NA NA NA NA NA NA NA NA 1359 NA NA NA NA NA NA NA NA
1579388400.0 123.3 225 NA NA NA NA NA NA NA NA 829 NA NA NA NA NA NA NA NA 1094 NA NA NA NA NA NA NA NA 1338 NA NA NA NA NA NA NA NA
1579388400.0 124.1 257 NA NA NA NA NA NA NA NA 809 NA NA NA NA NA NA NA NA 1079 NA NA NA NA NA NA NA NA 1233 NA NA NA NA NA NA NA NA
1579388400.0 124.2 273 NA NA NA NA NA NA NA NA 831 NA NA NA NA NA NA NA NA 1158 NA NA NA NA NA NA NA NA 1246 NA NA NA NA NA NA NA NA
1579388400.0 124.4 263 NA NA NA NA NA NA NA NA 875 NA NA NA NA NA NA NA NA 1103 NA NA NA NA NA NA NA NA 1260 NA NA NA NA NA NA NA NA
1579388400.0 124.5 267 NA NA NA NA NA NA NA NA 839 NA NA NA NA NA NA NA NA 1104 NA NA NA NA NA NA NA NA 1159 NA NA NA NA NA NA NA NA
1579388400.0 124.6 225 NA NA NA NA NA NA NA NA 836 NA NA NA NA NA NA NA NA 1080 NA NA NA NA NA NA NA NA 1150 NA NA NA NA NA NA NA NA
1579388400.0 12434.0 NA 269 397 0 83 NA NA NA NA NA 635 700 0 159 NA NA NA NA NA 2108 2348 1578 729 NA NA NA NA NA 3455 3766 1734 786 NA NA NA NA
