Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1579388400.0 10001.0 NA 164 NA NA NA NA 1063 NA NA NA NA 2108 NA NA NA NA 2219 NA NA NA
1579388400.0 10003.0 NA 164 NA NA NA NA 1064 NA NA NA NA 1916 NA NA NA NA 2025 NA NA NA
1579388400.0 10004.0 NA 161 NA NA NA NA 1064 NA NA NA NA 2092 NA NA NA NA 2195 NA NA NA
1579388400.0 10006.0 NA 163 NA NA NA NA 1066 NA NA NA NA 1888 NA NA NA NA 1993 NA NA NA
1579388400.0 10024.1 NA 159 NA NA NA NA 1068 NA NA NA NA 2626 NA NA NA NA 2721 NA NA NA
1579388400.0 10024.2 NA 159 NA NA NA NA 1068 NA NA NA NA 2663 NA NA NA NA 2780 NA NA NA
1579388400.0 10024.3 NA 161 NA NA NA NA 1068 NA NA NA NA 2664 NA NA NA NA 2769 NA NA NA
1579388400.0 10024.5 NA 164 NA NA NA NA 1068 NA NA NA NA 2514 NA NA NA NA 2602 NA NA NA
1579388400.0 10025.0 NA 166 NA NA NA NA 1067 NA NA NA NA 2266 NA NA NA NA 2348 NA NA NA
1579388400.0 1010.0 NA 43 57 0 NA NA 929 903 0 NA NA 170 268 224 NA NA 282 298 248 NA
1579388400.0 1020.0 NA 44 39 0 48 NA 940 887 0 941 NA 443 202 103 358 NA 520 246 131 439
1579388400.0 10224.0 NA 231 NA NA NA NA 1137 NA NA NA NA 8609 NA NA NA NA 8998 NA NA NA
1579388400.0 10225.0 NA 225 NA NA NA NA 1137 NA NA NA NA 9104 NA NA NA NA 9419 NA NA NA
1579388400.0 103.0 44 0 NA NA NA 912 0 NA NA NA 828 281 NA NA NA 854 303 NA NA NA
1579388400.0 1040.1 NA 87 48 0 NA NA 970 892 0 NA NA 737 223 203 NA NA 829 255 232 NA
1579388400.0 10424.0 NA 123 NA NA NA NA 1020 NA NA NA NA 1140 NA NA NA NA 1230 NA NA NA
1579388400.0 106.0 42 0 NA NA NA 912 0 NA NA NA 916 298 NA NA NA 943 336 NA NA NA
1579388400.0 10801.0 NA 155 NA NA NA NA 1054 NA NA NA NA 2141 NA NA NA NA 2239 NA NA NA
1579388400.0 10802.0 NA 153 NA NA NA NA 1055 NA NA NA NA 2124 NA NA NA NA 2208 NA NA NA
1579388400.0 10804.0 NA 155 NA NA NA NA 1054 NA NA NA NA 2245 NA NA NA NA 2343 NA NA NA
1579388400.0 10805.0 NA 149 NA NA NA NA 1055 NA NA NA NA 2279 NA NA NA NA 2384 NA NA NA
1579388400.0 10824.5 NA 155 NA NA NA NA 1060 NA NA NA NA 2651 NA NA NA NA 2734 NA NA NA
1579388400.0 10824.502 NA 152 NA NA NA NA 1060 NA NA NA NA 2508 NA NA NA NA 2588 NA NA NA
1579388400.0 10842.501 NA 154 NA NA NA NA 1058 NA NA NA NA 2058 NA NA NA NA 2162 NA NA NA
1579388400.0 10842.502 NA 150 NA NA NA NA 1058 NA NA NA NA 2055 NA NA NA NA 2157 NA NA NA
1579388400.0 109.0 64 87 NA NA NA 942 952 NA NA NA 6276 1069 NA NA NA 6359 1139 NA NA NA
1579388400.0 110.0 57 90 NA NA NA 925 948 NA NA NA 1235 794 NA NA NA 1298 844 NA NA NA
1579388400.0 11024.0 NA 244 NA NA NA NA 1158 NA NA NA NA 11478 NA NA NA NA 11706 NA NA NA
1579388400.0 11024.2 NA 242 NA NA NA NA 1158 NA NA NA NA 12369 NA NA NA NA 12662 NA NA NA
1579388400.0 11024.3 NA 243 NA NA NA NA 1159 NA NA NA NA 11055 NA NA NA NA 11336 NA NA NA
